user_id,age,gender,location,income_level,activity_score,rewards
143,41,Female,Chennai,Medium,60,GiftCard;Coupon10;Cashback
144,38,Male,Delhi,Medium,7,TShirt
145,58,Other,Kolkata,High,34,TShirt;Coupon10
146,56,Female,Delhi,Low,68,Coupon10
147,18,Other,Chennai,High,83,Voucher
148,20,Other,Kolkata,Medium,71,TShirt;GiftCard;Coupon10
149,21,Other,Bangalore,High,40,TShirt
150,22,Female,Mumbai,Medium,23,GiftCard;Voucher;Cashback
151,31,Other,Chennai,Medium,27,Cashback;Voucher;Coupon10
152,52,Other,Kolkata,Low,69,GiftCard
153,28,Male,Chennai,Low,38,Voucher
154,47,Other,Delhi,Low,3,Coupon10;Voucher;Cashback
155,27,Female,Mumbai,Medium,30,Coupon10
156,49,Other,Delhi,Low,17,GiftCard;Coupon10;TShirt
157,55,Female,Mumbai,Medium,40,TShirt
158,54,Male,Mumbai,Medium,94,Cashback;Voucher
159,59,Other,Chennai,Low,59,Cashback;TShirt
160,30,Male,Chennai,Medium,76,Cashback
161,26,Female,Chennai,Medium,39,Cashback;GiftCard;Coupon10
162,39,Male,Mumbai,High,57,Coupon10;TShirt;GiftCard
163,31,Female,Mumbai,High,91,GiftCard
164,32,Female,Mumbai,Medium,36,Coupon10
165,33,Female,Chennai,Low,13,Coupon10;GiftCard
166,56,Other,Bangalore,High,78,Coupon10;GiftCard;Cashback
167,20,Female,Delhi,Low,37,GiftCard
168,35,Male,Kolkata,Medium,24,GiftCard
169,28,Female,Chennai,Low,51,Voucher
170,40,Other,Kolkata,Medium,18,Voucher;GiftCard;Cashback
171,34,Other,Kolkata,High,21,Cashback
172,57,Other,Mumbai,High,54,Voucher;TShirt;Coupon10
173,31,Female,Chennai,Low,0,Cashback;GiftCard
174,41,Female,Delhi,Low,90,Voucher;TShirt
175,35,Other,Mumbai,High,65,TShirt
176,52,Other,Mumbai,High,98,GiftCard;TShirt
177,52,Other,Kolkata,Medium,4,Coupon10;TShirt
178,58,Female,Mumbai,Low,33,Voucher;GiftCard;Cashback
179,50,Female,Delhi,Low,27,Cashback;Coupon10
180,31,Other,Kolkata,Low,13,Cashback;GiftCard;TShirt
181,53,Other,Chennai,Low,23,Cashback;Coupon10
182,59,Male,Kolkata,Low,15,TShirt
183,20,Female,Kolkata,Low,76,Cashback
184,58,Female,Mumbai,Medium,23,GiftCard;Cashback
185,44,Other,Delhi,Low,27,GiftCard;Coupon10;Cashback
186,39,Female,Delhi,High,65,TShirt;GiftCard;Voucher
187,44,Other,Mumbai,Medium,9,Cashback
188,33,Male,Chennai,Medium,47,Cashback;TShirt;Voucher
189,46,Other,Chennai,High,45,Voucher;GiftCard;Coupon10
190,21,Male,Mumbai,High,91,TShirt
191,26,Female,Kolkata,Medium,73,TShirt
192,28,Male,Bangalore,High,6,Coupon10;Voucher;TShirt
193,54,Other,Mumbai,Low,92,Cashback
194,58,Other,Bangalore,High,93,Coupon10;TShirt
195,53,Other,Delhi,High,59,Coupon10
196,54,Other,Mumbai,Low,6,Cashback;GiftCard
197,36,Female,Mumbai,Medium,91,Cashback;GiftCard
198,55,Male,Bangalore,Low,9,GiftCard;Cashback;Coupon10
199,37,Female,Delhi,Medium,85,Coupon10;TShirt
200,28,Female,Bangalore,Low,4,TShirt;GiftCard
201,51,Female,Chennai,Medium,0,Coupon10
202,56,Female,Mumbai,Medium,58,TShirt;GiftCard
203,37,Female,Delhi,Medium,87,Cashback
204,29,Male,Chennai,Medium,2,GiftCard;Cashback
205,58,Male,Kolkata,Low,39,Voucher;Cashback
206,22,Other,Delhi,Medium,74,Coupon10
207,48,Female,Chennai,Low,69,Voucher;Coupon10;TShirt
208,33,Male,Bangalore,Medium,100,Cashback;Coupon10
209,29,Other,Bangalore,High,52,Voucher;Coupon10;GiftCard
210,20,Male,Kolkata,Low,87,Voucher;Coupon10
211,26,Male,Chennai,Medium,37,Voucher
212,23,Other,Bangalore,High,70,TShirt;Cashback
213,24,Male,Kolkata,High,18,TShirt;Voucher
214,38,Male,Mumbai,Low,69,Voucher;TShirt;GiftCard
215,18,Female,Chennai,Low,41,GiftCard;Cashback
216,33,Female,Delhi,Low,77,Voucher
217,25,Female,Chennai,Low,60,Voucher;Cashback
218,55,Male,Chennai,High,88,GiftCard
219,38,Other,Kolkata,Medium,32,Voucher
220,26,Male,Kolkata,Low,90,Cashback;GiftCard;Coupon10
221,44,Other,Delhi,High,7,TShirt
222,60,Male,Kolkata,High,14,Voucher;TShirt;Cashback
223,20,Female,Kolkata,Medium,70,Voucher;Coupon10
224,56,Other,Bangalore,Low,3,Cashback;Voucher
225,38,Other,Mumbai,Low,79,Voucher;GiftCard;TShirt
226,40,Male,Mumbai,High,95,GiftCard;Cashback
227,43,Male,Kolkata,Low,32,Coupon10
228,38,Female,Delhi,High,72,Cashback;Coupon10
229,35,Other,Mumbai,Medium,85,Coupon10;GiftCard;TShirt
230,22,Male,Bangalore,High,2,Voucher;TShirt
231,34,Other,Bangalore,Medium,94,Cashback
232,26,Female,Chennai,High,2,Voucher;GiftCard;TShirt
233,41,Male,Chennai,Low,94,Voucher
234,57,Male,Kolkata,Low,59,Cashback
235,57,Female,Kolkata,High,1,TShirt
236,39,Male,Bangalore,Medium,68,TShirt;Cashback
237,24,Male,Bangalore,High,90,GiftCard;Coupon10
238,24,Female,Mumbai,Low,54,Voucher
239,49,Female,Bangalore,Low,24,TShirt;Cashback;Coupon10
240,30,Other,Mumbai,High,80,GiftCard
241,23,Male,Kolkata,Medium,63,TShirt;GiftCard;Coupon10
242,47,Female,Delhi,Low,28,Cashback;Coupon10
243,60,Female,Chennai,Low,64,GiftCard;Voucher;TShirt
244,32,Female,Mumbai,High,5,GiftCard;Coupon10
245,25,Other,Kolkata,Low,74,TShirt;GiftCard;Voucher
246,41,Female,Kolkata,Medium,16,Voucher;GiftCard
247,54,Male,Bangalore,Medium,21,GiftCard;TShirt;Voucher
248,18,Male,Chennai,Medium,31,Voucher;Cashback
249,44,Male,Bangalore,High,83,Coupon10;Cashback;GiftCard
250,36,Other,Kolkata,Medium,42,TShirt;Coupon10;Cashback
251,57,Female,Chennai,High,70,TShirt;GiftCard
252,42,Female,Delhi,Medium,12,TShirt;GiftCard
253,22,Male,Delhi,Low,63,Cashback
254,33,Male,Bangalore,High,41,Coupon10;TShirt
255,18,Female,Mumbai,High,50,Voucher;TShirt;Coupon10
256,60,Other,Kolkata,Low,46,GiftCard;Cashback;Coupon10
257,56,Male,Delhi,Low,1,Cashback;GiftCard
258,50,Other,Kolkata,Low,23,Voucher
259,30,Female,Delhi,Low,78,Coupon10;TShirt
260,28,Female,Chennai,High,42,Cashback
261,21,Female,Chennai,High,39,GiftCard;Voucher;Cashback
262,27,Male,Delhi,Low,41,Coupon10;Voucher
263,24,Male,Kolkata,Low,6,Coupon10
264,51,Male,Delhi,Medium,23,Voucher;Coupon10;TShirt
265,21,Other,Bangalore,Low,42,TShirt;Voucher
266,25,Male,Kolkata,High,37,Coupon10;Cashback;TShirt
267,58,Male,Mumbai,Low,36,Coupon10;TShirt;Voucher
268,28,Female,Mumbai,Medium,32,GiftCard;Voucher;TShirt
269,51,Female,Bangalore,Low,80,Voucher
270,60,Other,Kolkata,Medium,58,GiftCard;Coupon10
271,38,Male,Kolkata,High,9,TShirt;Voucher;Coupon10
272,36,Female,Kolkata,High,54,Voucher;Cashback;GiftCard
273,38,Other,Delhi,Low,88,Coupon10;GiftCard
274,32,Other,Bangalore,Low,43,GiftCard;TShirt
275,42,Male,Delhi,Low,27,Cashback
276,36,Other,Delhi,High,55,GiftCard;Coupon10;TShirt
277,20,Female,Chennai,Medium,70,Voucher;Cashback;TShirt
278,28,Female,Kolkata,High,5,Cashback
279,36,Other,Delhi,Low,39,Voucher;Coupon10;Cashback
280,58,Other,Mumbai,High,47,Cashback
281,19,Female,Chennai,Low,88,Cashback;TShirt
282,42,Male,Bangalore,Low,26,Cashback;Voucher
283,56,Other,Chennai,Low,84,Cashback;TShirt
284,22,Male,Bangalore,Medium,44,Cashback
285,28,Male,Kolkata,Low,84,TShirt
286,31,Other,Kolkata,Low,79,Coupon10;TShirt
287,40,Female,Kolkata,Low,17,TShirt
288,35,Other,Delhi,Medium,22,GiftCard
289,51,Other,Kolkata,Low,59,Coupon10
290,40,Other,Chennai,High,57,GiftCard;Coupon10;Cashback
291,22,Female,Chennai,Medium,82,Voucher
292,60,Female,Kolkata,High,1,Coupon10;Voucher
293,28,Male,Kolkata,Medium,53,Cashback;Voucher
294,43,Other,Bangalore,Medium,90,Cashback;Voucher;GiftCard
295,49,Female,Mumbai,High,66,Cashback
296,20,Male,Chennai,Low,45,TShirt;Cashback
297,34,Female,Mumbai,High,54,Voucher;Cashback
298,60,Other,Kolkata,Medium,7,Voucher;Cashback
299,50,Male,Kolkata,Medium,63,TShirt
300,23,Female,Bangalore,Low,77,Voucher;TShirt;Coupon10
301,23,Female,Bangalore,Low,57,TShirt
302,45,Female,Bangalore,Low,19,Cashback
303,60,Other,Delhi,Low,100,Coupon10
304,26,Male,Bangalore,High,23,GiftCard;Coupon10
305,28,Other,Bangalore,Medium,81,Coupon10;TShirt
306,59,Male,Delhi,Low,34,Coupon10;Cashback
307,30,Other,Delhi,Low,48,TShirt
308,19,Other,Kolkata,Medium,26,Cashback;Coupon10
309,20,Other,Bangalore,High,17,TShirt;Coupon10
310,20,Female,Mumbai,Medium,42,Coupon10
311,29,Male,Mumbai,Medium,32,Cashback
312,28,Female,Bangalore,Medium,66,TShirt;Cashback
313,40,Female,Kolkata,Low,13,Coupon10;Cashback;GiftCard
314,59,Female,Kolkata,Medium,0,Voucher;Cashback
315,36,Other,Chennai,High,14,TShirt;Voucher
316,50,Other,Mumbai,Medium,1,Cashback
317,56,Other,Mumbai,High,40,Cashback;Voucher;GiftCard
318,50,Other,Delhi,Low,27,Voucher;Cashback;TShirt
319,54,Female,Chennai,Low,8,Voucher;TShirt;Coupon10
320,29,Male,Mumbai,Medium,72,GiftCard;Coupon10;Cashback
321,21,Other,Bangalore,High,51,Coupon10;Cashback;Voucher
322,27,Male,Mumbai,High,29,Cashback;Coupon10
323,24,Male,Bangalore,High,58,GiftCard
324,54,Other,Delhi,High,25,Cashback
325,37,Other,Chennai,High,14,Coupon10;Voucher;Cashback
326,42,Other,Chennai,Low,86,Voucher
327,47,Other,Kolkata,High,89,Voucher;GiftCard
328,53,Other,Bangalore,Medium,71,Coupon10;GiftCard
329,18,Female,Chennai,Medium,58,Coupon10
330,29,Male,Bangalore,Low,64,Coupon10
331,57,Male,Chennai,High,55,GiftCard;TShirt
332,45,Female,Mumbai,Low,6,TShirt;Voucher
333,40,Other,Mumbai,High,13,Voucher;Cashback;GiftCard
334,28,Female,Chennai,Low,82,Cashback;Coupon10;TShirt
335,27,Female,Bangalore,Low,39,Voucher;GiftCard;Cashback
336,20,Female,Bangalore,Low,17,TShirt;GiftCard;Cashback
337,53,Female,Mumbai,Medium,8,TShirt;Coupon10
338,45,Female,Kolkata,High,62,Voucher;Cashback;Coupon10
339,47,Male,Kolkata,High,13,TShirt;GiftCard
340,26,Female,Mumbai,High,64,GiftCard
341,47,Other,Chennai,Medium,42,Voucher
342,21,Female,Delhi,Medium,99,Cashback;Coupon10;GiftCard
343,41,Male,Chennai,Medium,41,TShirt;Coupon10
344,25,Female,Kolkata,Medium,40,GiftCard;TShirt;Voucher
345,18,Female,Chennai,High,16,GiftCard
346,50,Male,Delhi,Low,73,Coupon10
347,52,Other,Mumbai,Medium,68,TShirt;Cashback;GiftCard
348,27,Male,Mumbai,Low,4,TShirt
349,52,Male,Mumbai,High,4,Voucher;Coupon10
350,44,Male,Kolkata,Low,78,TShirt
351,35,Female,Bangalore,Medium,45,Cashback
352,60,Female,Mumbai,Medium,71,Coupon10;TShirt
353,36,Female,Bangalore,Medium,46,Voucher;GiftCard;Coupon10
354,29,Female,Chennai,High,43,Coupon10;Voucher;TShirt
355,39,Other,Bangalore,High,7,Voucher
356,53,Other,Delhi,Low,21,Voucher;Cashback;TShirt
357,18,Female,Bangalore,Medium,51,GiftCard
358,45,Female,Delhi,Low,50,GiftCard;TShirt;Cashback
359,35,Other,Mumbai,Low,97,TShirt
360,26,Other,Mumbai,Low,20,Cashback;GiftCard
361,53,Female,Bangalore,Medium,49,Coupon10;Voucher
362,32,Female,Chennai,High,50,Voucher
363,37,Other,Delhi,Medium,32,Coupon10
364,18,Other,Kolkata,Medium,96,GiftCard
365,55,Other,Chennai,High,82,Cashback
366,25,Other,Delhi,High,25,Coupon10;Cashback
367,23,Other,Chennai,High,14,Coupon10;GiftCard;Voucher
368,46,Other,Delhi,Low,49,Coupon10
369,30,Female,Chennai,Low,93,Voucher;GiftCard;Coupon10
370,23,Female,Kolkata,Low,28,Cashback;GiftCard
371,27,Female,Kolkata,Medium,26,Coupon10;TShirt;Cashback
372,25,Male,Bangalore,High,12,Voucher;TShirt;GiftCard
373,44,Female,Bangalore,Low,31,Coupon10
374,60,Male,Mumbai,Low,9,Coupon10
375,19,Male,Kolkata,High,84,GiftCard;Voucher
376,28,Male,Delhi,Medium,60,Coupon10
377,18,Other,Kolkata,Medium,37,Cashback;TShirt
378,32,Male,Delhi,Low,54,Cashback;Coupon10;Voucher
379,53,Other,Kolkata,Medium,84,Coupon10;TShirt
380,39,Other,Chennai,High,37,TShirt
381,54,Female,Mumbai,Low,65,Cashback;Voucher
382,41,Female,Kolkata,Medium,42,Cashback
383,34,Other,Bangalore,High,78,Cashback;TShirt;GiftCard
384,27,Other,Bangalore,High,38,Cashback
385,43,Female,Chennai,High,84,Cashback;Coupon10
386,36,Other,Bangalore,Low,69,Coupon10;Voucher;Cashback
387,32,Other,Mumbai,Medium,55,TShirt;Voucher
388,27,Other,Bangalore,Medium,42,GiftCard
389,31,Other,Kolkata,Medium,27,TShirt
390,34,Female,Bangalore,Medium,19,TShirt;Cashback
391,56,Female,Delhi,Medium,18,GiftCard;TShirt;Cashback
392,51,Female,Kolkata,Low,69,Coupon10;GiftCard;Voucher
393,48,Other,Mumbai,Medium,78,GiftCard;Voucher;Coupon10
394,47,Other,Kolkata,High,28,Coupon10;TShirt
395,21,Other,Delhi,High,9,Cashback;Voucher;GiftCard
396,51,Female,Delhi,Medium,82,TShirt
397,47,Female,Bangalore,High,73,GiftCard;Coupon10
398,21,Male,Mumbai,Low,99,Cashback;TShirt;Voucher
399,50,Other,Chennai,High,39,Voucher;TShirt;GiftCard
400,50,Male,Bangalore,Medium,56,Cashback
401,29,Female,Kolkata,Medium,60,Cashback;TShirt;Coupon10
402,55,Female,Delhi,High,62,Voucher;Coupon10
403,57,Other,Bangalore,Low,38,Voucher;GiftCard
404,55,Female,Bangalore,Medium,12,TShirt;Cashback
405,46,Female,Delhi,Low,74,TShirt
406,42,Female,Bangalore,Low,74,Cashback;GiftCard
407,39,Other,Kolkata,High,19,Coupon10
408,21,Female,Chennai,Medium,63,TShirt;Cashback
409,54,Male,Mumbai,Low,53,Voucher
410,60,Female,Chennai,Medium,93,GiftCard;TShirt;Voucher
411,37,Other,Chennai,Low,71,GiftCard;TShirt
412,26,Male,Bangalore,Medium,50,GiftCard;TShirt
413,58,Male,Chennai,Low,66,TShirt;GiftCard;Coupon10
414,40,Other,Chennai,Low,48,Coupon10
415,20,Other,Kolkata,Medium,66,Voucher
416,19,Female,Mumbai,High,61,Coupon10;GiftCard
417,43,Male,Delhi,High,2,GiftCard
418,50,Female,Mumbai,Medium,69,Cashback
419,40,Male,Delhi,High,51,Cashback
420,26,Male,Mumbai,Medium,69,GiftCard
421,41,Other,Bangalore,High,55,Voucher;GiftCard;Cashback
422,36,Female,Delhi,High,30,Cashback;Coupon10;TShirt
423,46,Other,Delhi,High,28,TShirt
424,26,Male,Delhi,Low,30,GiftCard
425,54,Other,Kolkata,High,97,Coupon10
426,52,Male,Bangalore,Medium,37,Coupon10
427,43,Other,Kolkata,High,68,Cashback
428,47,Male,Chennai,Medium,4,Voucher;Coupon10;TShirt
429,50,Male,Bangalore,High,0,TShirt
430,40,Male,Chennai,High,38,Cashback
431,39,Male,Bangalore,Medium,52,GiftCard
432,44,Male,Delhi,Medium,75,Cashback;Coupon10
433,38,Other,Mumbai,High,39,Coupon10;TShirt;GiftCard
434,32,Other,Kolkata,Medium,38,Voucher
435,23,Female,Chennai,Medium,92,GiftCard;TShirt
436,48,Other,Mumbai,Low,45,TShirt
437,47,Other,Bangalore,Medium,97,Cashback
438,40,Male,Bangalore,Low,0,TShirt;Coupon10;Voucher
439,47,Other,Bangalore,Medium,63,TShirt
440,45,Other,Chennai,Low,86,Voucher;Coupon10;TShirt
441,32,Female,Mumbai,High,70,Voucher
442,24,Female,Chennai,High,85,TShirt;Voucher
443,40,Male,Mumbai,Medium,98,Cashback;GiftCard
444,31,Other,Kolkata,Low,26,Voucher
445,40,Other,Delhi,High,93,Voucher;TShirt;Coupon10
446,30,Female,Kolkata,Medium,86,GiftCard;Coupon10
447,32,Other,Chennai,High,83,GiftCard
448,24,Other,Bangalore,Medium,6,Coupon10;TShirt
449,55,Other,Kolkata,Medium,33,GiftCard;Coupon10;Voucher
450,23,Male,Chennai,Medium,52,TShirt
451,38,Female,Mumbai,High,8,Coupon10;GiftCard;TShirt
452,33,Male,Kolkata,High,11,TShirt;Coupon10;GiftCard
453,33,Female,Bangalore,Low,22,TShirt;Cashback
454,50,Female,Bangalore,Low,73,GiftCard
455,49,Other,Chennai,High,48,Cashback
456,52,Male,Bangalore,Low,91,Coupon10
457,43,Other,Bangalore,Medium,51,TShirt;Cashback
458,35,Other,Bangalore,Medium,6,GiftCard;TShirt;Cashback
459,27,Male,Kolkata,Low,31,Cashback
460,35,Male,Mumbai,Medium,0,Coupon10
461,32,Male,Bangalore,Medium,93,GiftCard;Coupon10
462,19,Other,Kolkata,Low,28,Cashback;Coupon10;GiftCard
463,34,Male,Chennai,Medium,50,Coupon10;Cashback;TShirt
464,49,Other,Delhi,Low,12,Coupon10
465,28,Other,Chennai,Low,8,GiftCard;Voucher
466,46,Male,Bangalore,Low,62,Coupon10
467,52,Female,Kolkata,High,23,TShirt;Cashback;Coupon10
468,41,Female,Kolkata,Medium,24,GiftCard
469,47,Female,Delhi,Low,57,GiftCard;TShirt
470,56,Male,Kolkata,High,44,GiftCard;Voucher
471,28,Male,Delhi,Medium,98,Voucher
472,23,Other,Mumbai,High,34,GiftCard
473,23,Male,Bangalore,Medium,35,TShirt
474,39,Female,Chennai,Medium,63,Voucher
475,30,Male,Chennai,Low,22,Cashback
476,35,Male,Bangalore,Medium,61,Voucher
477,22,Male,Bangalore,Medium,29,Cashback
478,24,Male,Kolkata,Low,17,GiftCard;Coupon10;Cashback
479,59,Other,Bangalore,Low,26,TShirt;Voucher;Cashback
480,25,Other,Kolkata,High,7,Cashback;Coupon10
481,33,Female,Mumbai,Low,66,Voucher;TShirt
482,42,Other,Mumbai,High,74,Coupon10;GiftCard
483,52,Other,Kolkata,Medium,29,GiftCard
484,55,Male,Bangalore,High,26,TShirt
485,32,Male,Mumbai,Low,100,GiftCard
486,51,Other,Chennai,Medium,87,GiftCard
487,50,Female,Chennai,High,72,Coupon10;TShirt;Voucher
488,41,Female,Chennai,Medium,33,GiftCard;Coupon10
489,18,Female,Bangalore,High,62,Cashback;TShirt;Coupon10
490,34,Male,Kolkata,High,70,TShirt
491,58,Female,Delhi,Medium,1,Cashback;TShirt;Coupon10
492,21,Male,Mumbai,Low,92,Voucher;Cashback
493,18,Other,Chennai,Low,22,Coupon10;TShirt
494,58,Male,Bangalore,Medium,41,Cashback;GiftCard
495,47,Male,Chennai,High,59,GiftCard
496,34,Female,Mumbai,Medium,67,Voucher;TShirt;GiftCard
